"CustomerKey","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score","CLV_TotalRevenue","FirstPurchase","LastPurchase","NumOrders","AvgOrderValue","LifespanDays","LifespanMonths","MonthlyValue","CLV_Quintile","CLV_Segment"
11012,75,2,81.26,4,4,3,443,81.26,2016-03-17,2016-10-17,2,40.63,214,7.03022339027595,11.5586654205607,3,"Middle"
11013,260,1,38.98,2,1,2,212,38.98,2016-04-15,2016-04-15,1,38.98,0,0,38.98,2,"Lower-Mid"
11014,244,2,138.45,2,4,3,243,138.45,2016-03-24,2016-05-01,2,69.225,38,1.24835742444152,110.905736842105,3,"Middle"
11015,344,1,2500.97,1,1,5,115,2500.97,2016-01-22,2016-01-22,1,2500.97,0,0,2500.97,5,"Top 20% (High CLV)"
11016,322,1,2332.28,1,1,4,114,2332.28,2016-02-13,2016-02-13,1,2332.28,0,0,2332.28,4,"Upper-Mid"
11021,339,1,2371.96,1,1,4,114,2371.96,2016-01-27,2016-01-27,1,2371.96,0,0,2371.96,4,"Upper-Mid"
11022,342,1,2322.28,1,1,4,114,2322.28,2016-01-24,2016-01-24,1,2322.28,0,0,2322.28,4,"Upper-Mid"
11023,314,1,115.96,1,1,3,113,115.96,2016-02-21,2016-02-21,1,115.96,0,0,115.96,3,"Middle"
11024,157,2,56.51,3,4,2,342,56.51,2016-06-29,2016-07-27,2,28.255,28,0.919842312746386,61.4344428571429,2,"Lower-Mid"
11036,340,1,2354.98,1,1,4,114,2354.98,2016-01-26,2016-01-26,1,2354.98,0,0,2354.98,4,"Upper-Mid"
11040,270,1,2350.96,2,1,4,214,2350.96,2016-04-05,2016-04-05,1,2350.96,0,0,2350.96,4,"Upper-Mid"
11041,348,1,2380.47,1,1,4,114,2380.47,2016-01-18,2016-01-18,1,2380.47,0,0,2380.47,4,"Upper-Mid"
11042,73,2,3112.33,4,4,5,445,3112.33,2016-01-25,2016-10-19,2,1556.165,268,8.8042049934297,353.504944776119,5,"Top 20% (High CLV)"
11043,134,2,47.98,3,4,2,342,47.98,2016-05-09,2016-08-19,2,23.99,102,3.35085413929041,14.318737254902,2,"Lower-Mid"
11049,60,2,81.26,4,4,3,443,81.26,2016-03-10,2016-11-01,2,40.63,236,7.75295663600526,10.4811627118644,3,"Middle"
11053,345,1,2329.98,1,1,4,114,2329.98,2016-01-21,2016-01-21,1,2329.98,0,0,2329.98,4,"Upper-Mid"
11062,355,1,2351.96,1,1,4,114,2351.96,2016-01-11,2016-01-11,1,2351.96,0,0,2351.96,4,"Upper-Mid"
11063,350,1,2372.95,1,1,4,114,2372.95,2016-01-16,2016-01-16,1,2372.95,0,0,2372.95,4,"Upper-Mid"
11064,337,1,2304.98,1,1,4,114,2304.98,2016-01-29,2016-01-29,1,2304.98,0,0,2304.98,4,"Upper-Mid"
11065,321,1,196.29,1,1,3,113,196.29,2016-02-14,2016-02-14,1,196.29,0,0,196.29,3,"Middle"
11066,100,2,81.26,4,4,3,443,81.26,2016-06-02,2016-09-22,2,40.63,112,3.67936925098555,22.0853071428571,3,"Middle"
11067,134,1,6.28,3,1,1,311,6.28,2016-08-19,2016-08-19,1,6.28,0,0,6.28,1,"Bottom 20% (Low CLV)"
11081,260,2,104.26,2,4,3,243,104.26,2016-02-16,2016-04-15,2,52.13,59,1.93823915900131,53.7910915254237,3,"Middle"
11082,52,2,3110.81,5,4,5,545,3110.81,2016-01-26,2016-11-09,2,1555.405,288,9.46123521681997,328.795334722222,5,"Top 20% (High CLV)"
